annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2020-2021,8,99,Total provincial,Total provincial,Total provincial,,1678250,259412,111405,7.8559174117,1440338,1.860498086,1082564,87321,43941,3.7499447228,849322,2.1993979178,595686,114794,26498,15.317865851,591016,1.3734806738,172091,67464
2021-2022,8,99,Total provincial,Total provincial,Total provincial,,2087097,306326,127300,8.3595220363,1697904,2.5332070512,1416866,112623,53344,4.5908565324,1033743,3.0137961703,670231,142090,35970,16.326467787,664161,1.7851871618,193703,73956
2022-2023,8,99,Total provincial,Total provincial,Total provincial,,2218598,327901,126447,8.9486831097,1757732,2.8342550248,1533043,122398,51849,4.9368651807,1079597,3.3743753708,685555,163264,50083,17.919939089,678135,1.9743785914,205503,74598
2023-2024,8,99,Total provincial,Total provincial,Total provincial,,2165092,349551,126876,8.8369988018,1749569,2.8061661691,1458532,134349,50402,4.9019406431,1050606,3.320795401,706560,158424,41321,16.960029042,698963,2.0326308621,215202,76474
2024-2025,8,99,Total provincial,Total provincial,Total provincial,,2370789,386534,137816,8.8416687719,1900048,3.0193598154,1601270,148639,54276,5.0847942321,1139426,3.5889948606,769519,168404,40155,16.65924117,760622,2.1660358503,237895,83540
2020-2021,8,08,Abitibi-Témiscamingue,Total régional,Total régional,,53950,6467,3301,4.8367153795,46633,1.8949030253,43480,3576,2455,3.4474155678,36198,2.0834434683,10470,987,110,10.606224053,10435,1.2408745674,2891,846
2020-2021,8,01,Bas-Saint-Laurent,Total régional,Total régional,,63137,10996,2854,3.8796540724,55155,1.3125295833,45470,4971,1710,2.5355067322,37670,1.4507495133,17667,196,0,7.3391197179,17485,1.0147460681,6025,1144
2020-2021,8,03,Capitale-Nationale,Total régional,Total régional,,184712,29823,11724,7.273091326,158994,1.4670215648,117686,10417,3826,3.2012906449,92196,1.7995661809,67026,11311,2586,14.422465225,66798,1.0080365139,19406,7898
2020-2021,8,12,Chaudière-Appalaches,Total régional,Total régional,,91614,15490,4585,5.4828224883,79438,0.9016736113,63358,5677,2094,2.3982863166,51204,1.0702000549,28256,3273,202,12.399231137,28234,0.5960411108,9813,2491
2020-2021,8,09,Côte-Nord,Total régional,Total régional,,46920,5426,2575,5.8570451478,38161,1.885359493,36341,2867,1544,3.1473698746,28191,1.9449659466,10579,1763,820,15.165326564,9970,1.7168173131,2559,1031
2020-2021,8,05,Estrie,Total régional,Total régional,,115487,17614,7079,7.3111956492,100028,2.1137644904,71556,5563,2385,3.9832824796,56316,2.6348997275,43931,6206,1128,12.731790554,43712,1.4423641423,12051,4694
2020-2021,8,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,44706,7166,1833,4.4995997679,40166,1.1996430992,34747,3939,1217,2.5211683982,30409,1.2810156807,9959,1143,302,11.402356551,9757,0.9460345279,3227,616
2020-2021,8,14,Lanaudière,Total régional,Total régional,,70248,10875,4825,8.9645121727,57044,2.4073542986,43117,3017,2313,4.6986838009,30137,3.033887322,27131,5985,563,15.743831841,26907,1.7056103017,7858,2512
2020-2021,8,15,Laurentides,Total régional,Total régional,,93930,14166,6910,10.376006497,77806,2.7741048998,58630,4677,2435,5.0496170902,42732,3.4748986643,35300,9183,2777,19.222641368,35074,1.9203009668,9489,4475
2020-2021,8,13,Laval,Total régional,Total régional,,44381,7778,3149,8.366527493,35485,2.2177562272,28186,2144,939,4.3044467111,19330,2.8228412657,16195,3019,207,15.436228568,16155,1.4937516593,5634,2210
2020-2021,8,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,117662,19529,7119,6.0592457397,98346,1.923052313,74528,6000,2459,3.2666535471,55622,2.3442836867,43134,3853,185,10.884356115,42724,1.3746548908,13529,4660
2020-2021,8,06,Montréal,Total régional,Total régional,,396087,57475,32788,9.9543627305,359504,1.8015660898,232461,14520,11449,4.5139879605,197272,2.2436999999,163626,41449,10667,17.683421434,162232,1.263937011,42955,21339
2020-2021,8,16,Montérégie,Total régional,Total régional,,191488,32809,13485,9.697546835,156796,2.1925452339,122234,10331,5487,4.1651367391,87747,2.6240823143,69254,19825,5350,19.462305775,69049,1.6441508446,22478,7998
2020-2021,8,07,Outaouais,Total régional,Total régional,,77221,10406,4797,7.4678187173,60133,2.2875263444,54301,4425,2087,3.622086574,37572,2.3003417069,22920,4902,1477,16.578948783,22561,2.2661842585,5981,2710
2020-2021,8,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,86707,13392,4381,5.1576862499,76649,1.7292980448,56469,5197,1541,2.8351850229,46726,1.944605995,30238,1699,124,9.4949215759,29923,1.3930857906,8195,2840
2021-2022,8,08,Abitibi-Témiscamingue,Total régional,Total régional,,67383,7292,3978,5.6956453491,55064,2.6817127141,55546,4154,2963,4.4188147661,43324,2.9648412414,11837,1377,194,11.687267513,11740,1.6368864518,3138,1015
2021-2022,8,01,Bas-Saint-Laurent,Total régional,Total régional,,79923,12614,3462,4.1137744906,69433,1.7587521424,60395,6347,2179,3.0197425008,50162,1.9476107357,19528,344,5,7.4973294898,19271,1.2671572714,6267,1283
2021-2022,8,03,Capitale-Nationale,Total régional,Total régional,,225214,34343,12661,7.0239233573,186898,1.8231200084,150654,13352,4308,3.6777422217,112608,2.285593524,74560,11794,2131,13.785130074,74290,1.1221075216,20991,8353
2021-2022,8,12,Chaudière-Appalaches,Total régional,Total régional,,122448,19037,5852,5.7654410239,105461,1.3714323884,89669,7898,2801,2.9568589789,72713,1.6253804761,32779,4981,448,13.448492471,32748,0.8075711663,11139,3051
2021-2022,8,09,Côte-Nord,Total régional,Total régional,,59549,6627,3294,6.5619655708,47634,2.4246173835,46749,3643,2005,3.7605733872,35186,2.5163169932,12800,2362,1137,16.793393945,12448,2.1654157071,2984,1289
2021-2022,8,05,Estrie,Total régional,Total régional,,139425,20700,7661,7.9565099615,115557,2.8977283938,89446,6939,2775,4.8394669596,65895,3.7047243004,49979,8063,1499,13.534993492,49662,1.8269500266,13761,4886
2021-2022,8,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,57483,9050,2328,4.7952891435,50720,1.6146635723,46053,5437,1579,2.9988596955,39494,1.7248257541,11430,1454,342,12.033343856,11226,1.227103871,3613,749
2021-2022,8,14,Lanaudière,Total régional,Total régional,,86983,13720,5515,9.932299319,64940,3.4872904433,57443,4320,2980,6.0044600299,35574,4.4904059847,29540,8375,929,17.570311245,29366,2.2721153337,9400,2535
